"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_wtdia"
"PRDX1",9.55945763333393e-10,8.598959747318e-08,-1.41953386231588,-16.9462914083208,0.0837666382639257,12,27.613563534982,16.0000000000959,16,"PRDX1",4,4
"PRDX2",2.7251102005926e-07,7.05168927249235e-06,-1.2427931893186,-10.2554581077695,0.121183585975264,12,25.2774602530495,16.000000000001,16,"PRDX2",4,4
"PRDX6",4.99311476607138e-05,0.000404806600562611,-3.71767106859243,-6.14377753577685,0.605111602258292,12,23.7276650072874,12.2066064445367,12,"PRDX6",0,4
"ATXN3",0.531427439873085,0.656980650471373,-0.0891251712138654,-0.644422044300382,0.138302486704384,12,22.0086521223834,13.976385761269,14,"ATXN3",3,4
"ATXN2L",0.0290909957808393,0.063629735690493,-0.411918913000818,-2.4775009080856,0.166263879725119,12,24.0291506383677,16.0000000000191,16,"ATXN2L",4,4
"TXN",9.08201846294259e-06,0.00011073248431131,-4.35859257479856,-7.33126519049782,0.59452119948516,12,24.1186893273818,12.161206757649,12,"TXN",0,4
"TXNDC9",0.041638618043367,0.0854021167034965,0.258750603982794,2.28052672071466,0.113460895517027,12,23.5348751901937,16.0000000017371,16,"TXNDC9",4,4
"ATXN2",0.000263908260210055,0.00147056844701119,0.734354259156856,5.09517852512156,0.144127287304292,12,24.2437750745823,16.0000004752143,16,"ATXN2",4,4
"TXNL1",7.79894592363239e-06,0.000102307005900983,-1.1260603904334,-7.44392042661423,0.151272491630539,12,24.4870417375159,16,16,"TXNL1",4,4
"TXNDC17",0.000101312801592091,0.000688416842472874,0.829320708295199,5.68619923346436,0.145847986369259,12,26.0567716510361,16.0000005621801,16,"TXNDC17",4,4
"TP53",0.990773366989487,0.99234935855946,-0.0236306815089691,-0.0118073254061983,2.00135769075731,12,24.070094036956,16.0000000000602,16,"TP53",4,4
"TP53",0.298737337338046,0.418941967506733,-0.17417176472367,-1.08617912489606,0.160352708620079,12,26.4001333093183,14.0467542935454,15,"TP53",4,3
"TP53",0.406969550989022,0.538467148063209,-0.151225985662272,-0.859383262741235,0.17597036411891,12,28.1352117734457,16.0000000004384,16,"TP53",4,4
"TP53",0.673461319459468,0.791149522673467,-0.11455440607633,-0.431916016583675,0.265223797400293,12,25.0815174317251,16.0000000000913,16,"TP53",4,4
"TP53BP1",0.000510067088588653,0.0024579508427142,-2.73752137185743,-4.70482619739702,0.581853878762191,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,4
"TP53RK",0.616578294584238,0.734373517320067,0.0696873624678567,0.514010145140969,0.135575850256311,12,24.7469903179812,16.0000001143741,16,"TP53RK",4,4
"TP53BP2",0.000586516681379212,0.00275636614958588,0.640364400808568,4.62361951285799,0.138498507290177,12,22.8066772898056,16.0000000000165,16,"TP53BP2",4,4
"MDM2;MDM2 isoform KB9;mdm2",1.27510761414649e-09,1.09485376505578e-07,-2.48943913228742,-16.5285527693731,0.150614464982093,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",3,4
"YWHAB",2.11477322056249e-05,0.000215935492629327,-1.59597309638404,-6.72624174844324,0.237275607400436,12,22.7038585936926,16.0000000000001,16,"YWHAB",4,4
"YWHAG",0.000711943185971306,0.00318687364526018,-1.0067281058541,-4.51175132474737,0.223134661773601,12,24.873236861793,16.0000000000001,16,"YWHAG",4,4
"YWHAH",0.0569988369116783,0.110772430993992,-0.182776727079712,-2.10536830619513,0.0868146093687669,12,26.3401878169969,16.0000000000017,16,"YWHAH",4,4
"YWHAE",1.48341601788634e-07,4.31103516582662e-06,-2.64508422204245,-10.8431870249558,0.243939739852751,12,26.8852390023472,16.0000000000008,16,"YWHAE",4,4
"YWHAZ",4.8391695749827e-11,7.03168563626333e-09,-2.00629845015603,-21.8935402674717,0.0916388316208908,12,26.3318192413733,16.0000000000005,16,"YWHAZ",4,4
"YWHAQ",9.11352285349735e-17,1.72154446702565e-13,-5.01537769397234,-66.3504523471888,0.075589201226973,12,27.8286531982748,16.000000001759,16,"YWHAQ",4,4
"PSME3",1.46153860564708e-10,1.8392302303661e-08,-3.43669415864567,-19.9200736798168,0.172524169030949,12,25.042879106414,12.8465480717491,13,"PSME3",1,4
