name,pval,adj_pval,diff,t_statistic,se,df,avg_abundance,n_approx,n_obs,Gene.names,n_obs_wt,n_obs_wtdia
TP53,0.990773367,0.992349359,-0.023630682,-0.011807325,2.001357691,12,24.07009404,16,16,TP53,4,4
PRDX2,2.73E-07,7.05E-06,-1.242793189,-10.25545811,0.121183586,12,25.27746025,16,16,PRDX2,4,4
PRDX1,9.56E-10,8.60E-08,-1.419533862,-16.94629141,0.083766638,12,27.61356353,16,16,PRDX1,4,4
YWHAB,2.11E-05,0.000215935,-1.595973096,-6.726241748,0.237275607,12,22.70385859,16,16,YWHAB,4,4
YWHAZ,4.84E-11,7.03E-09,-2.00629845,-21.89354027,0.091638832,12,26.33181924,16,16,YWHAZ,4,4
MDM2,1.28E-09,1.09E-07,-2.489439132,-16.52855277,0.150614465,12,24.25206633,14.91877648,15,MDM2,3,4
YWHAE,1.48E-07,4.31E-06,-2.645084222,-10.84318702,0.24393974,12,26.885239,16,16,YWHAE,4,4
TP53BP1,0.000510067,0.002457951,-2.737521372,-4.704826197,0.581853879,12,22.57657532,12.10514262,12,TP53BP1,0,4
PSME3,1.46E-10,1.84E-08,-3.436694159,-19.92007368,0.172524169,12,25.04287911,12.84654807,13,PSME3,1,4
PRDX6,4.99E-05,0.000404807,-3.717671069,-6.143777536,0.605111602,12,23.72766501,12.20660644,12,PRDX6,0,4
TXN,9.08E-06,0.000110732,-4.358592575,-7.33126519,0.594521199,12,24.11868933,12.16120676,12,TXN,0,4
YWHAQ,9.11E-17,1.72E-13,-5.015377694,-66.35045235,0.075589201,12,27.8286532,16,16,YWHAQ,4,4
