"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_wtdia"
"1","BCLAF1",8.00743435862992e-09,4.40091438681969e-07,-1.18837001764394,-14.0783898179074,0.084410932856282,12,27.0542643568521,16.0000000000002,16,"BCLAF1",4,4
"2","TUBA1A;TUBA3E",0.00172810990111643,0.00664847169696321,-1.46213816383187,-4.01070081459419,0.364559270666968,12,24.1617065063724,8.18878687877513,12,"TUBA1A;TUBA3E",3,2
"3","TLK2",2.21681976073235e-11,3.80688411638491e-09,-3.54574942499816,-23.398254726903,0.151539055642526,12,23.9932302221626,16.0000000016582,16,"TLK2",4,4
"4","PPAN-P2RY11;PPAN",0.000688539594374991,0.00311160596596736,-2.58532919512406,-4.53097974360861,0.570589440125156,12,22.8009218195184,6.60504407637853,7,"PPAN-P2RY11;PPAN",0,3
"5","RPRD1A",0.00108005503100536,0.0044643850187508,-2.55485472056017,-4.27418803223113,0.597740366426166,12,22.3403546594761,11.1364527080791,11,"RPRD1A",0,4
"6","GSTP1",0.00196005553204382,0.00736092425453434,-2.32944901504783,-3.94080414605062,0.591110070106466,12,22.7168505504985,10.9275542302812,11,"GSTP1",0,4
"7","PSMD9",1.26881808219819e-05,0.000145228779589752,-1.57425992910644,-7.08791195747399,0.222104893310141,12,22.01082236261,12.0173452864452,12,"PSMD9",1,3
"8","CPSF7",4.84412091808532e-06,6.93223061686604e-05,-1.4406990150615,-7.80373168257469,0.184616677464514,12,21.9656325264853,15.027343836763,15,"CPSF7",3,4
"9","RNF126",0.000195751756406654,0.00115194725187592,-1.54667913689537,-5.2763892636305,0.293132113575554,12,22.8877496516858,11.4084839669136,12,"RNF126",1,4
"10","ZNF428",0.000423337112759959,0.00213249014934284,-2.73051101084063,-4.81399800150838,0.567202356541292,12,22.662960903155,10.9982184208743,11,"ZNF428",0,4
"11","ARNT",2.42908263082886e-08,1.11915538771603e-06,-1.10370724466904,-12.7616397373906,0.08648631895126,12,21.5645565627201,11.0022770727754,11,"ARNT",2,4
"12","GRB2",0.000897695520426737,0.00385397008655933,-2.6025859906751,-4.37911615512479,0.594317642757512,12,22.7318544419596,8.48233105730232,9,"GRB2",0,3
"13","NR2C2AP",0.00220528698457734,0.00804636156623997,-2.33037793288418,-3.87562532906424,0.601290820195677,12,22.5076291399252,10.9198799059883,11,"NR2C2AP",0,4
"14","SMARCC1",1.60986816088516e-05,0.000174326559860697,-1.39999083347,-6.9178813983267,0.202372771786552,12,23.8523169825148,16.0000000000048,16,"SMARCC1",4,4
"15","C18orf25",4.70262464146211e-05,0.000386899289308437,-3.50338672953558,-6.18342477201297,0.56657707641118,12,22.600746816679,6.8997991615998,7,"C18orf25",0,4
"16","TTC1",0.000323940689294109,0.00172859876292817,-2.96052526633595,-4.97243272947804,0.595387696003424,12,22.8468829414684,12.1654068605995,12,"TTC1",0,4
"17","POGK",0.00037306320635849,0.00193072985427723,-1.0171920174067,-4.88859200519717,0.208074639144626,12,21.929716525247,8.90253213354352,9,"POGK",2,4
"18","CARHSP1",5.81093544671729e-05,0.00045358913466318,-3.59000144026436,-6.04408043368863,0.593969832078065,12,23.4181695157856,12.1590755215104,12,"CARHSP1",0,4
"19","PTBP1",1.86678118295882e-05,0.000195908314144956,-1.11935260272686,-6.81344958546013,0.164285739358159,12,23.2644798810542,12.9096311312112,13,"PTBP1",1,4
"20","FTO",6.25350180322155e-07,1.45837838349204e-05,-1.69755208921108,-9.49459970959964,0.178791327821303,12,23.0588224710282,14.9981947544226,15,"FTO",3,4
"21","CNN2",8.5345482294732e-06,0.000107478410703166,-1.62079607765217,-7.37711376961964,0.219705989126386,12,22.4735431089647,10.9361221212763,11,"CNN2",1,4
"22","PPP1R2;PPP1R2P3",2.64635378539967e-05,0.000252472843465656,-1.86914003873259,-6.57119507630892,0.284444460562644,12,22.774565572863,9.87844697630801,10,"PPP1R2;PPP1R2P3",1,4
"23","CSTF2",5.49461954752736e-06,7.63186494505822e-05,-1.28880986786335,-7.70739217505799,0.167217372438124,12,22.8442381986856,12.9941923256545,13,"CSTF2",1,4
"24","CDKN2A",0.000429797074708358,0.00215927306947896,-2.93476208883117,-4.80509183380322,0.610760874159675,12,23.1047013082073,12.2303786005899,12,"CDKN2A",0,4
"25","RNGTT",0.00256126469374367,0.00906035394472244,-2.26652800803735,-3.79320742381266,0.597522822983195,12,22.5141922826504,8.14947429625858,9,"RNGTT",0,4
"26","TOX4",0.000669685118353345,0.003048277562818,-2.57225577492335,-4.54697282412472,0.565707312187094,12,22.7495823319645,12.0294702062988,12,"TOX4",0,4
"27","UBXN7",0.000521936188452916,0.00250237934006994,-2.96587551832907,-4.69141587967866,0.632191985190666,12,22.6125264428383,12.3146824686277,12,"UBXN7",0,4
"28","JUN",0.000550321445710457,0.00261195279132425,-2.70363271993793,-4.66059541339407,0.580104574657557,12,22.73233970355,12.097140947495,12,"JUN",0,4
"29","YWHAB",2.11477322056249e-05,0.000215935492629327,-1.59597309638404,-6.72624174844324,0.237275607400436,12,22.7038585936926,16.0000000000001,16,"YWHAB",4,4
"30","ZFP36L2;ZFP36L1",0.000490136297725199,0.00238012202160129,-1.44213748864703,-4.72809603331175,0.305014424090895,12,22.0556857332557,14.0101078946952,14,"ZFP36L2;ZFP36L1",3,4
"31","SUPT4H1",2.11584022382657e-06,3.60074070523278e-05,-1.35658924641245,-8.45840575669733,0.160383562273341,12,24.5274904130769,16.0000000025507,16,"SUPT4H1",4,4
"32","BPTF",1.60526078647312e-05,0.000174326559860697,-1.03377494894116,-6.9199127558124,0.149391326945971,12,21.7254884259925,10.9925480974518,11,"BPTF",3,3
"33","SRSF5",1.37987693718915e-11,2.60658753435031e-09,-2.93182330000342,-24.359929978689,0.120354340204109,12,23.369594964701,16.000000000002,16,"SRSF5",4,4
"34","SAFB2",8.54009154917255e-05,0.000608763507033469,-1.82763157002811,-5.79497652946162,0.315382048699671,12,22.5723009573621,8.55876759449732,9,"SAFB2",1,4
"35","CTTN",2.73057435906038e-05,0.000256619649963436,-1.44660528101194,-6.5497068164836,0.220865654226121,12,22.7267064974088,13.0331057849598,13,"CTTN",1,4
"36","ZXDC;ZXDA;ZXDB",5.88228233206656e-05,0.000456320647062642,-1.313849438424,-6.03609857226515,0.217665338412616,12,22.0616260293821,8.91926650166388,9,"ZXDC;ZXDA;ZXDB",1,3
"37","CIAPIN1",6.30037745872215e-06,8.62421233298995e-05,-2.42818273821015,-7.60370142881311,0.3193421994463,12,25.6872663807078,10.5181716752637,13,"CIAPIN1",1,4
"38","DUS1L",0.00158920590422915,0.00618971124348221,-1.08012392316332,-4.05736179048165,0.266213362016972,12,21.7025561392913,7.9874587481888,8,"DUS1L",1,3
"39","DNAJC9",0.000562757185386672,0.00265762080798856,-2.65583301343411,-4.64761227593517,0.571440312950743,12,22.8575004528863,7.34494678233561,8,"DNAJC9",0,4
"40","PHAX",0.000868611665100468,0.0037461356972027,-2.58937748348653,-4.39788254684651,0.588778225863089,12,22.6203718612081,12.1363600180359,12,"PHAX",0,4
"41","RANBP3",5.75014157056642e-05,0.000450706117294604,-3.50446998087305,-6.05096404218923,0.579158949952236,12,23.1741793916404,12.092741694349,12,"RANBP3",0,4
"42","UBTF",2.05229903186386e-05,0.000210695264738632,-1.58356631935699,-6.74714399968884,0.234701722599966,12,23.0638142116297,10.5905633564817,11,"UBTF",1,4
"43","CD2BP2",0.0013879568246766,0.00556890524231733,-2.53989956007435,-4.13303899459978,0.614535590734317,12,22.8299203614957,12.2458609883714,12,"CD2BP2",0,4
"44","HMGB1;HMGB1P1",8.25738635080309e-07,1.85692890674608e-05,-1.60184992563034,-9.25019593902929,0.173169296757451,12,24.1443181423582,16.0000000000001,16,"HMGB1;HMGB1P1",4,4
"45","MNAT1",9.94753116533747e-06,0.000116713579946102,-1.06355477341308,-7.26448115993942,0.146404781015627,12,22.460889569839,11.9835634134318,12,"MNAT1",1,4
"46","COPS2",0.00139746057265315,0.00558097890431671,-1.14319400165031,-4.12921657336811,0.276854938785115,12,23.0548459673234,14.9033006729284,15,"COPS2",3,4
"47","FOXK2",4.9805018005794e-08,1.8816335802589e-06,-1.36008886964854,-11.9683106966304,0.113640839056047,12,22.9975573458972,14.9924021618125,15,"FOXK2",3,4
"48","RING1",2.27572030316619e-05,0.00022745162183497,-1.26341456272531,-6.6752821262349,0.189267590318002,12,23.3043281621648,16.0000011015259,16,"RING1",4,4
"49","SRSF6",3.44126716384405e-11,5.41712806041784e-09,-1.79768664844529,-22.5388584043009,0.0797594366226755,12,25.2124120237637,16,16,"SRSF6",4,4
"50","ARID3B",3.62874162365815e-09,2.44810461681794e-07,-2.05634906636957,-15.0902351303618,0.136270180590637,12,23.5860726159117,14.935544570311,15,"ARID3B",3,4
"51","EP400",0.000238264473817847,0.0013517656276626,-1.28884553892905,-5.1568685827433,0.249927939455736,12,22.3456837220403,16.0000000027118,16,"EP400",4,4
"52","PUS7",0.00175545178029955,0.00673993579875174,-2.28608506813456,-4.00197350044898,0.571239431714898,12,22.3987861108705,8.96242324803443,9,"PUS7",0,4
"53","GINS3",0.0026713193734756,0.00936386466592603,-2.2118470606184,-3.77009731579515,0.586681688918659,12,22.5494312017768,9.85176523326189,10,"GINS3",0,4
"54","DCTPP1",0.000861176493483029,0.00372256841233282,-2.52053869612803,-4.40278504598642,0.57248733921856,12,22.5060172780065,12.061738902588,12,"DCTPP1",0,4
"55","XPO5",3.81352045465632e-05,0.000336623370974103,-1.60216389138153,-6.32318264855865,0.253379347146764,12,23.0659608555662,13.8723362914338,14,"XPO5",2,4
"56","CTDP1",0.000481605688598528,0.00235664875433308,-2.77551943329678,-4.73835977373099,0.585755317416797,12,22.225265504306,6.99999571444828,7,"CTDP1",0,3
"57","NELFA",0.000525755520412162,0.0025143093115407,-2.73800362160008,-4.68716828258825,0.584148777369724,12,22.8972350064211,12.1155690283677,12,"NELFA",0,4
"58","PDCD11",0.000115667532789623,0.000763971921117475,-1.30579718123297,-5.60255710721856,0.233071641438609,12,23.2689468156659,14.967538199765,15,"PDCD11",3,4
"59","VBP1",2.57619543511178e-05,0.000247027064818586,-3.72905796674684,-6.58965794388772,0.56589552879687,12,23.6720642448425,12.0303672591126,12,"VBP1",0,4
"60","NME1;NME2;NME1-NME2;NME2P1",1.12147940829913e-06,2.40735750258755e-05,-1.50148881880988,-8.986689417895,0.167079193347886,12,23.6150178013207,14.9441444598209,15,"NME1;NME2;NME1-NME2;NME2P1",3,4
"61","EIF4B",0.000193634757421987,0.00114663340680293,-1.02524794787351,-5.28303768378897,0.194064098959485,12,23.9678878805437,16.0000000000024,16,"EIF4B",4,4
"62","ZPR1",0.00218061577144257,0.00799841396554373,-2.24015525303617,-3.88183581843232,0.577086553325912,12,22.4126566050596,12.0832234655822,12,"ZPR1",0,4
"63","CHERP",2.86694421634399e-06,4.4390636267818e-05,-1.72524825675247,-8.21388815881531,0.210040388107902,12,24.5863355262791,16,16,"CHERP",4,4
"64","GLRX3",0.000172790371103667,0.00106319547561833,-3.28533497729621,-5.35290526074429,0.613748014819041,12,23.2727658955104,12.2423986465932,12,"GLRX3",0,4
"65","TXN",9.08201846294259e-06,0.00011073248431131,-4.35859257479856,-7.33126519049782,0.59452119948516,12,24.1186893273818,12.161206757649,12,"TXN",0,4
"66","NCL",1.54509934405214e-06,2.98059875194704e-05,-1.93327834933648,-8.7170244561222,0.221781911828719,12,21.8388155965157,15.0360429250329,15,"NCL",3,4
"67","PRDX2",2.7251102005926e-07,7.05168927249235e-06,-1.2427931893186,-10.2554581077695,0.121183585975264,12,25.2774602530495,16.000000000001,16,"PRDX2",4,4
"68","YWHAG",0.000711943185971306,0.00318687364526018,-1.0067281058541,-4.51175132474737,0.223134661773601,12,24.873236861793,16.0000000000001,16,"YWHAG",4,4
"69","CNBP",2.51712792425043e-07,6.60396479015148e-06,-2.00627424481174,-10.3306676845656,0.194205670540463,12,24.7192123721408,16.0000000000028,16,"CNBP",4,4
"70","TP53BP1",0.000510067088588653,0.0024579508427142,-2.73752137185743,-4.70482619739702,0.581853878762191,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,4
"71","CNN3",0.000411579927690913,0.00209459418146229,-2.78547039660147,-4.83057851792626,0.576632878704817,12,22.9648071650645,12.0811147299389,12,"CNN3",0,4
"72","HDGFRP2",9.5041077939288e-11,1.28237568733796e-08,-2.93114983416194,-20.6674417794842,0.141824511491866,12,22.6356881060705,15.0162683102721,15,"HDGFRP2",3,4
"73","SERBP1",1.37921233086992e-06,2.77162988618435e-05,-2.56322767705617,-8.81189497632962,0.290882685726677,12,23.5744530687629,15.0289761331081,15,"SERBP1",3,4
"74","SH3GL1",6.23567939865769e-09,3.68099949502012e-07,-2.08755363331614,-14.3912915011474,0.14505672636467,12,24.089213825185,16.000000000106,16,"SH3GL1",4,4
"75","POLR1E",2.20127161311566e-06,3.66632520125971e-05,-1.66829509463161,-8.42624873926331,0.197987876486241,12,23.7511090676162,16.0000001601884,16,"POLR1E",4,4
"76","CACYBP",2.63527130025223e-13,1.65934249539216e-10,-5.2014447787454,-34.0318824474675,0.152840348657601,12,23.8435856071947,13.0132592835626,13,"CACYBP",1,4
"77","AASDHPPT",3.72629687106964e-05,0.000330468299974204,-3.69560005394159,-6.33872279775383,0.583019666872189,12,23.4505336329547,12.1103473575832,12,"AASDHPPT",0,4
"78","RAD18",3.89759342942615e-08,1.53386541420542e-06,-1.83485661470096,-12.2342619894246,0.149976894093573,12,22.4028916905829,13.8909525955902,14,"RAD18",3,4
"79","PHF8",1.43072088613208e-07,4.28391625596808e-06,-1.00323379480216,-10.8789962958202,0.0922174957617744,12,23.7985848823147,14.8982419860161,15,"PHF8",4,4
"80","SRCAP",4.41021611187468e-07,1.06987950768101e-05,-2.12376168438655,-9.80879678161886,0.216516024510403,12,21.7501944344598,11.0026441088488,11,"SRCAP",1,3
"81","IMPDH2",7.06683486624948e-06,9.53517933024662e-05,-1.11864299437378,-7.51744923372083,0.148806192046621,12,24.254880457309,16.0000000000027,16,"IMPDH2",4,4
"82","TRIM24",4.09603404863101e-05,0.000351700378084726,-1.79321052984752,-6.27532217767286,0.285755930783543,12,23.8017902450304,13.4729290049351,14,"TRIM24",2,4
"83","PRDX6",4.99311476607138e-05,0.000404806600562611,-3.71767106859243,-6.14377753577685,0.605111602258292,12,23.7276650072874,12.2066064445367,12,"PRDX6",0,4
"84","TXLNA",0.00263165155037687,0.00927460779601101,-2.1821624147451,-3.77831246498855,0.577549484052986,12,22.3975490775561,12.0853668174948,12,"TXLNA",0,4
"85","PCYT1A",1.989142353286e-05,0.000206455489305343,-1.46592543354565,-6.76897425419339,0.216565372905283,12,22.3191875061985,12.0092628835935,12,"PCYT1A",2,4
"86","YWHAE",1.48341601788634e-07,4.31103516582662e-06,-2.64508422204245,-10.8431870249558,0.243939739852751,12,26.8852390023472,16.0000000000008,16,"YWHAE",4,4
"87","FOXK1",2.95905410863649e-09,2.14986661969782e-07,-1.57636769491775,-15.3614921696425,0.102618136149103,12,23.7927245630453,16.0000001009204,16,"FOXK1",4,4
"88","SAFB",0.000300051523812768,0.00161480720365333,-1.37867714166361,-5.01816497974447,0.274737308802831,12,24.3440677926594,16.0000008519156,16,"SAFB",4,4
"89","GLMN",5.49886106547547e-08,1.99756702936215e-06,-2.18129968067084,-11.8623237552716,0.183884686143512,12,25.4234908046103,12.1103019298725,13,"GLMN",1,4
"90","ANP32E",1.52356360973293e-07,4.36062372543258e-06,-1.58129183442113,-10.8168109373486,0.146188358433926,12,24.6469741389654,16.0000000000382,16,"ANP32E",4,4
"91","PNN",5.4173667576668e-05,0.00042757653295933,-1.11718120520076,-6.09006428541636,0.183443253279942,12,23.3847321841834,16.0000000000002,16,"PNN",4,4
"92","BOLA2",3.56410284532634e-13,1.68314756870536e-10,-4.2226614671994,-33.1780702278661,0.127272666499235,12,25.0644361323529,13.9761072054738,14,"BOLA2",2,4
"93","ACIN1",4.14435094775231e-05,0.000352992930070298,-1.17363082455833,-6.26748864796478,0.187256952581708,12,23.4382612795886,12.7689180147832,13,"ACIN1",1,4
"94","CHD8",8.19529896636182e-06,0.000104600809104442,-1.24601426338085,-7.40712790402257,0.168218272929266,12,22.8694414575697,16.0000000008049,16,"CHD8",4,4
"95","MDM2;MDM2 isoform KB9;mdm2",1.27510761414649e-09,1.09485376505578e-07,-2.48943913228742,-16.5285527693731,0.150614464982093,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",3,4
"96","PDLIM1",2.55119090796134e-10,2.83482330890528e-08,-2.76126325724943,-18.9905257197344,0.145402149366513,12,24.1393019711758,14.9407600633354,15,"PDLIM1",3,4
"97","SMAP;C11orf58",0.000177344163054505,0.00108065523874181,-3.10215055141846,-5.33691062026744,0.581263351055148,12,22.936870807176,12.1024235904138,12,"SMAP;C11orf58",0,4
"98","TXNL1",7.79894592363239e-06,0.000102307005900983,-1.1260603904334,-7.44392042661423,0.151272491630539,12,24.4870417375159,16,16,"TXNL1",4,4
"99","FLNB",1.01148862216133e-08,5.16405947908851e-07,-1.43679041682816,-13.7915765875816,0.104178837546528,12,23.7266517698664,16.0000000000145,16,"FLNB",4,4
"100","TTC4",1.58606586874355e-06,3.01114222774634e-05,-5.03491433057852,-8.69527479690095,0.579040277412854,12,24.493941398315,12.0920188726761,12,"TTC4",0,4
"101","ELL",2.26000506252387e-05,0.000227082423569553,-2.37521943007014,-6.68008631894391,0.355567176330387,12,23.4327613704777,12.617136442838,13,"ELL",1,4
"102","SRSF3",2.6350188457382e-08,1.18513109514273e-06,-1.67953165211674,-12.6694954011347,0.132564999547363,12,26.6963395033759,16.0000000000003,16,"SRSF3",4,4
"103","PFDN2",1.18809195372067e-06,2.5024665236807e-05,-5.10253217758961,-8.93767258681564,0.570901666851903,12,24.5854356464795,12.0541725753055,12,"PFDN2",0,4
"104","NUDC",1.67379441648789e-05,0.000178632635748341,-3.98458398517377,-6.89031887621244,0.578287312497222,12,23.9219323199751,12.0886800360872,12,"NUDC",0,4
"105","SNW1",1.83321234619693e-12,4.32867265245751e-10,-2.71088527895358,-28.8994001407485,0.0938042058226392,12,23.4507345858718,16.0000000001851,16,"SNW1",4,4
"106","YARS",3.95267585112437e-05,0.000342504801962107,-1.30246641267037,-6.29915474433594,0.206768442042405,12,23.9443883192202,14.8479332442779,15,"YARS",3,4
"107","KHDRBS1",1.96136337468421e-09,1.61087626729499e-07,-1.47417277173762,-15.9218094066358,0.0925882689641555,12,26.4513688931493,16.0000000000044,16,"KHDRBS1",4,4
"108","TCOF1",0.000364607223067272,0.00190260509495602,-2.90072795525953,-4.902168041053,0.591723484582231,12,23.0160407105807,12.1493800174221,12,"TCOF1",0,4
"109","ARMC6",1.02418146310326e-05,0.000119424616284078,-1.55438646198365,-7.2431769233196,0.214600095847343,12,23.2073218821269,14.9615705717129,15,"ARMC6",3,4
"110","POGZ",2.01775732462407e-05,0.000208281070284966,-1.09727755161951,-6.75899338687078,0.162343338543717,12,22.5308043865522,13.971173453534,14,"POGZ",2,4
"111","USP48",2.2478464341115e-09,1.7536946846556e-07,-2.05068650827896,-15.7340147737082,0.130334599132682,12,23.3817649040657,14.9932042734298,15,"USP48",3,4
"112","NUDCD2",9.72429441589665e-06,0.000115529510387602,-4.16668120760592,-7.281095354148,0.572260217033442,12,23.9008375559978,12.060613866811,12,"NUDCD2",0,4
"113","HIRIP3",0.00186062594757678,0.00707187608646385,-2.28798379105673,-3.96966269051569,0.576367306099629,12,22.4771011446193,11.0205599940996,11,"HIRIP3",0,4
"114","SLC4A1AP",3.08047505034165e-09,2.15519161855384e-07,-1.73196947882397,-15.30767582851,0.113143856600245,12,25.0320183547615,16.0000000031261,16,"SLC4A1AP",4,4
"115","MAP4",0.000176840656089592,0.00108065523874181,-3.08265830175107,-5.33865773071578,0.577421977066465,12,23.1039560228732,12.0847602525627,12,"MAP4",0,4
