"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_C182S","n_obs_C182SC277S"
"1","TLK2",9.42427242911492e-08,1.97947786882363e-05,1.71143835894837,11.2995034571757,0.151461377522879,12,23.9932302221626,16.0000000016582,16,"TLK2",0,0
"2","TP53",1.41416947152528e-05,0.000809504888397352,1.2331206417012,7.01012318614108,0.175905702219194,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"3","EPPK1",1.4497445165095e-06,0.000171160461980403,-1.20983079886005,-8.77013921765273,0.137948870460901,12,25.071176927002,16.0000000009892,16,"EPPK1",0,0
"4","FAM192A",2.25468748116242e-07,3.27623434762755e-05,1.13367893124215,10.4357188119583,0.108634484281338,12,21.7596222576541,10.0395696478409,10,"FAM192A",1,2
"5","ARNT",9.9841441780768e-09,6.28668278412903e-06,1.2576851785845,13.8074095460133,0.0910877000058019,12,21.5645565627201,11.0022770727754,11,"ARNT",2,2
"6","PSMD2",1.28927660165701e-05,0.000785626935654867,1.00582559363983,7.0764047042879,0.142137940899615,12,23.8243511491405,16.0000000124598,16,"PSMD2",0,0
"7","C18orf25",7.48889204524872e-05,0.00261972538397682,3.30648518945087,5.87932951467802,0.562391541619851,12,22.600746816679,6.8997991615998,7,"C18orf25",2,4
"8","FTO",2.89994688045248e-05,0.00133032914158266,1.08113241048013,6.50854814235456,0.166109612594647,12,23.0588224710282,14.9981947544226,15,"FTO",0,0
"9","PPP1R2;PPP1R2P3",0.000104437129574197,0.00328745643273415,1.59671694213871,5.66697231800992,0.281758380407871,12,22.774565572863,9.87844697630801,10,"PPP1R2;PPP1R2P3",1,3
"10","UBXN7",1.71339320451658e-05,0.000924742789523376,2.1170559725937,6.87380189737742,0.307989087291187,12,22.6125264428383,12.3146824686277,12,"UBXN7",0,0
"11","RANBP3",7.71756715978178e-06,0.000539943865363992,1.16151906041125,7.45172140505021,0.155872582625548,12,23.1741793916404,12.092741694349,12,"RANBP3",0,0
"12","COPS2",0.000136475511501644,0.0040281600191657,1.42434721951241,5.49899749518425,0.259019434135,12,23.0548459673234,14.9033006729284,15,"COPS2",0,0
"13","DCTPP1",2.4194551284662e-06,0.000249011257748759,1.0532741462427,8.3498344859298,0.126143116730943,12,22.5060172780065,12.061738902588,12,"DCTPP1",0,0
"14","SUMO2;SUMO3",8.9976652763335e-05,0.00298185784333228,1.0917667379334,5.7616346526949,0.189489060612815,12,25.8826534340367,16.0000000000435,16,"SUMO2;SUMO3",0,0
"15","TP53BP1",6.32645396381193e-06,0.000459641212986182,1.2659841402789,7.6005866373756,0.166564003632755,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,0
"16","HDGFRP2",1.50429678047459e-07,2.58328783483318e-05,1.4234281325451,10.8293743150767,0.131441401057067,12,22.6356881060705,15.0162683102721,15,"HDGFRP2",0,0
"17","PCYT1A",0.000226923640049836,0.00587203775416632,1.12182076698903,5.18641330272688,0.216299917015716,12,22.3191875061985,12.0092628835935,12,"PCYT1A",0,2
"18","YWHAE",0.000276446040835987,0.00678190352128804,1.23782670161863,5.06727240884227,0.244278697047873,12,26.8852390023472,16.0000000000008,16,"YWHAE",0,0
"19","SAFB",0.000141686709433042,0.00405524536543964,1.50322186075601,5.47566900087672,0.274527525406545,12,24.3440677926594,16.0000008519156,16,"SAFB",0,0
"20","MDM2;MDM2 isoform KB9;mdm2",3.36621979846186e-07,4.54199228521032e-05,1.40762656899697,10.0574599615,0.139958456149502,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",0,0
"21","SMTN",9.43107507644925e-08,1.97947786882363e-05,1.32025623400459,11.2987650830769,0.116849604739729,12,23.8975495185405,14.9101154569881,15,"SMTN",1,1
"22","SLC4A1AP",5.09439121998412e-08,1.37475785922143e-05,1.35137518455447,11.9440368752724,0.113142248191833,12,25.0320183547615,16.0000000031261,16,"SLC4A1AP",0,0
"23","YWHAZ",1.3370790896694e-07,2.5257424003855e-05,1.00321663857093,10.9462776644616,0.0916491129973793,12,26.3318192413733,16.0000000000005,16,"YWHAZ",0,0
"24","PSME3",1.68533125233239e-08,7.95897683913971e-06,1.4847984981637,13.1828333767145,0.112631211799004,12,25.042879106414,12.8465480717491,13,"PSME3",0,0
"25","HTATSF1",2.21273531053612e-07,3.27623434762755e-05,1.15432913738557,10.4537249795809,0.11042275740373,12,26.8470479250618,16.0000000438941,16,"HTATSF1",0,0
"26","DFFA",3.41422157212889e-08,1.07491075829191e-05,1.36437278432633,12.3800010061112,0.11020780884047,12,24.2687616719105,16.0000000018989,16,"DFFA",0,0
"27","YWHAQ",1.89848137210902e-13,3.58623131191393e-10,2.64523906505409,34.9834747780213,0.0756139600722563,12,27.8286531982748,16.000000001759,16,"YWHAQ",0,0
