"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182SC277S"
"1","TLK2",2.6532706742799e-07,3.1325176898217e-05,1.55698647082907,10.2807172037597,0.151447261895277,12,23.9932302221626,16.0000000016582,16,"TLK2",0,0
"2","TP53",1.87922096479554e-05,0.000657379333796068,1.19769482366174,6.80878840379463,0.175904250893484,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"3","FAM192A",8.6666654075529e-08,1.34006117890478e-05,1.23684843962425,11.385537365224,0.108633295025853,12,21.7596222576541,10.0395696478409,10,"FAM192A",0,2
"4","RPRD1A",1.43977900965986e-05,0.000555049499846423,1.66029895962986,6.99730391055234,0.237276954217471,12,22.3403546594761,11.1364527080791,11,"RPRD1A",0,1
"6","ZNF428",9.22223151178514e-08,1.34006117890478e-05,1.18719337097137,11.3216988294709,0.104860002801086,12,22.662960903155,10.9982184208743,11,"ZNF428",0,1
"7","ARNT",9.31847132790153e-09,2.93376538973433e-06,1.20105337593258,13.891652081866,0.0864586421294287,12,21.5645565627201,11.0022770727754,11,"ARNT",0,2
"8","ANP32B",0.000599776747240988,0.00609128105128078,1.0840152999905,4.61066656580748,0.235110321798048,12,22.0166727504738,7.97869172989024,8,"ANP32B",1,3
"9","RNF34",0.000859168043779945,0.00787848754708892,1.19401044280277,4.40411690383438,0.271112340765347,12,21.2558512929867,4.05994209318495,4,"RNF34",3,4
"10","C18orf25",2.60364135464819e-05,0.000819713086488405,3.69281931033178,6.58237236134192,0.561016470599506,12,22.600746816679,6.8997991615998,7,"C18orf25",0,4
"11","TTC1",0.000172455796043192,0.00275467250421637,1.13752177001131,5.3540978728612,0.212458157662221,12,22.8468829414684,12.1654068605995,12,"TTC1",0,0
"12","CNN2",2.56629126740293e-05,0.000819713086488405,1.1457840295364,6.59230730662386,0.173806222350273,12,22.4735431089647,10.9361221212763,11,"CNN2",0,2
"13","PPP1R2;PPP1R2P3",0.000216937055232513,0.00317669842894742,1.46899950078982,5.2137450428378,0.281755146966345,12,22.774565572863,9.87844697630801,10,"PPP1R2;PPP1R2P3",0,3
"14","UBXN7",9.07672081851274e-06,0.000436904766366364,2.25842858511071,7.33169457869842,0.308036370155458,12,22.6125264428383,12.3146824686277,12,"UBXN7",0,0
