"","dia_dep","C182C277_dep","C277_dep"
"1","TLK2","TLK2","TLK2"
"2","ARNT","ARNT","ARNT"
"3","C18orf25","C18orf25","C18orf25"
"4","PPP1R2;PPP1R2P3","PPP1R2;PPP1R2P3","PPP1R2;PPP1R2P3"
"5","UBXN7","UBXN7","UBXN7"
"6","RANBP3","RANBP3","RANBP3"
"7","COPS2","COPS2","COPS2"
"8","DCTPP1","DCTPP1","DCTPP1"
"9","TP53BP1","TP53BP1","TP53BP1"
"10","HDGFRP2","HDGFRP2","HDGFRP2"
"11","PCYT1A","PCYT1A","PCYT1A"
"12","YWHAE","YWHAE","YWHAE"
"13","SAFB","SAFB","SAFB"
"14","MDM2;MDM2 isoform KB9;mdm2","MDM2;MDM2 isoform KB9;mdm2","MDM2;MDM2 isoform KB9;mdm2"
"15","SLC4A1AP","SLC4A1AP","SLC4A1AP"
"16","YWHAZ","YWHAZ","YWHAZ"
"17","PSME3","PSME3","PSME3"
"18","DFFA","DFFA","DFFA"
"19","YWHAQ","YWHAQ","YWHAQ"
"20","RPRD1A","RPRD1A",NA
"21","ZNF428","ZNF428",NA
"22","TTC1","TTC1",NA
"23","CNN2","CNN2",NA
"24","ARID3B","ARID3B",NA
"25","PUS7","PUS7",NA
"26","CTDP1","CTDP1",NA
"27","NCL","NCL",NA
"28","RAD18","RAD18",NA
"29","SRCAP","SRCAP",NA
"30","GLMN","GLMN",NA
"31","SMAP;C11orf58","SMAP;C11orf58",NA
"32","ELL","ELL",NA
"33","RBM17","RBM17",NA
"34","NCOR1","NCOR1",NA
"35","RCC2","RCC2",NA
"36","TRIM33","TRIM33",NA
"37","FTO",NA,NA
"38","BCLAF1",NA,NA
"39","TUBA1A;TUBA3E",NA,NA
"40","PPAN-P2RY11;PPAN",NA,NA
"41","GSTP1",NA,NA
"42","PSMD9",NA,NA
"43","CPSF7",NA,NA
"44","RNF126",NA,NA
"45","GRB2",NA,NA
"46","NR2C2AP",NA,NA
"47","SMARCC1",NA,NA
"48","POGK",NA,NA
"49","CARHSP1",NA,NA
"50","PTBP1",NA,NA
"51","CSTF2",NA,NA
"52","CDKN2A",NA,NA
"53","RNGTT",NA,NA
"54","TOX4",NA,NA
"55","JUN",NA,NA
"56","YWHAB",NA,NA
"57","ZFP36L2;ZFP36L1",NA,NA
"58","SUPT4H1",NA,NA
"59","BPTF",NA,NA
"60","SRSF5",NA,NA
"61","SAFB2",NA,NA
"62","CTTN",NA,NA
"63","ZXDC;ZXDA;ZXDB",NA,NA
"64","CIAPIN1",NA,NA
"65","DUS1L",NA,NA
"66","DNAJC9",NA,NA
"67","PHAX",NA,NA
"68","UBTF",NA,NA
"69","CD2BP2",NA,NA
"70","HMGB1;HMGB1P1",NA,NA
"71","MNAT1",NA,NA
"72","FOXK2",NA,NA
"73","RING1",NA,NA
"74","SRSF6",NA,NA
"75","EP400",NA,NA
"76","GINS3",NA,NA
"77","XPO5",NA,NA
"78","NELFA",NA,NA
"79","PDCD11",NA,NA
"80","VBP1",NA,NA
"81","NME1;NME2;NME1-NME2;NME2P1",NA,NA
"82","EIF4B",NA,NA
"83","ZPR1",NA,NA
"84","CHERP",NA,NA
"85","GLRX3",NA,NA
"86","TXN",NA,NA
"87","PRDX2",NA,NA
"88","YWHAG",NA,NA
"89","CNBP",NA,NA
"90","CNN3",NA,NA
"91","SERBP1",NA,NA
"92","SH3GL1",NA,NA
"93","POLR1E",NA,NA
"94","CACYBP",NA,NA
"95","AASDHPPT",NA,NA
"96","PHF8",NA,NA
"97","IMPDH2",NA,NA
"98","TRIM24",NA,NA
"99","PRDX6",NA,NA
"100","TXLNA",NA,NA
"101","FOXK1",NA,NA
"102","ANP32E",NA,NA
"103","PNN",NA,NA
"104","BOLA2",NA,NA
"105","ACIN1",NA,NA
"106","CHD8",NA,NA
"107","PDLIM1",NA,NA
"108","TXNL1",NA,NA
"109","FLNB",NA,NA
"110","TTC4",NA,NA
"111","SRSF3",NA,NA
"112","PFDN2",NA,NA
"113","NUDC",NA,NA
"114","SNW1",NA,NA
"115","YARS",NA,NA
"116","KHDRBS1",NA,NA
"117","TCOF1",NA,NA
"118","ARMC6",NA,NA
"119","POGZ",NA,NA
"120","USP48",NA,NA
"121","NUDCD2",NA,NA
"122","HIRIP3",NA,NA
"123","MAP4",NA,NA
"124","EIF5A;EIF5A2;EIF5AL1",NA,NA
"125","MBD3",NA,NA
"126","RBM25",NA,NA
"127","IRF2BPL",NA,NA
"128","TPM3;DKFZp686J1372",NA,NA
"129","PPP5C",NA,NA
"130","KIF4A",NA,NA
"131","NASP",NA,NA
"132","UBXN1",NA,NA
"133","MCMBP",NA,NA
"134","CHD1",NA,NA
"135","UBA1",NA,NA
"136","CBX3",NA,NA
"137","RPS12",NA,NA
"138","DNAJA1",NA,NA
"139","TCEA1",NA,NA
"140","HCFC1",NA,NA
"141","AIP",NA,NA
"142","TMPO",NA,NA
"143","STIP1",NA,NA
"144","U2SURP",NA,NA
"145","ZRANB2",NA,NA
"146","USP5",NA,NA
"147","RBM26",NA,NA
"148","IRF2BP1",NA,NA
"149","HDLBP",NA,NA
"150","NPM1",NA,NA
"151","FLNA",NA,NA
"152","PRDX1",NA,NA
"153","DNAJC7",NA,NA
"154","HNRNPA3",NA,NA
"155","TLN1",NA,NA
"156","RNH1",NA,NA
"157","FHL1",NA,NA
"158","KHSRP",NA,NA
"159","SRRM2",NA,NA
"160","HSPH1",NA,NA
"161","ZC3H14",NA,NA
"162","CCT2",NA,NA
